POLNR;GEVO;DATUM;BETRAG;PARAM
7000328;ERH;01.09.2026;4020.29;
7000346;PEX;01.09.2026;27086.93;
7000347;ERH;01.09.2026;4432.37;
7000351;ERH;01.09.2026;2361.12;
7000375;ERH;01.10.2026;2077.15;
7000376;PEX;01.10.2026;20153.83;
7000389;ERH;01.10.2026;4436.60;
7000399;ERH;01.10.2026;3956.47;
7000407;ERH;01.10.2026;4958.35;
7000415;ERH;01.10.2026;5097.22;
7000417;ERH;01.11.2026;5698.76;
7000427;STO;01.11.2026;41266.71;
7000430;STO;01.11.2026;51284.76;
7000444;ERH;01.11.2026;3685.26;
7000452;RED;01.12.2026;7177.65;0.5
7000457;ERH;01.12.2026;2814.20;
7000465;PEX;01.12.2026;53408.35;
7000484;ERH;01.12.2026;3583.05;
7000494;ERH;01.12.2026;3250.40;
7000497;STO;01.12.2026;27666.73;
7000498;ERH;01.12.2026;3955.89;
7000543;RED;01.02.2026;11940.81;0.5
7000544;ERH;01.02.2026;4913.68;
7000550;ERH;01.02.2026;5695.41;
7000554;ERH;01.02.2026;1467.72;
7000558;ERH;01.02.2026;9514.68;
7000559;ERH;01.02.2026;3490.49;
7000561;ERH;01.02.2026;1831.91;
7000569;ERH;01.02.2026;1758.88;
7000570;STO;01.02.2026;38061.85;
7000578;ERH;01.03.2026;4084.10;
7000598;ERH;01.03.2026;6870.17;
7000600;ERH;01.03.2026;5025.36;
7000602;PEX;01.03.2026;44235.06;
7000606;ERH;01.03.2026;3382.15;
7000615;ERH;01.03.2026;6131.44;
7000618;STO;01.03.2026;44251.85;
7000626;ERH;01.04.2026;3841.38;
7000637;ERH;01.04.2026;6360.45;
7000649;ERH;01.04.2026;4432.37;
7000656;ERH;01.04.2026;6894.79;
7000657;ERH;01.04.2026;3350.24;
7000661;STO;01.04.2026;39983.45;
7000663;ERH;01.04.2026;2546.18;
7000675;ERH;01.05.2026;2345.17;
7000687;ERH;01.05.2026;4136.88;
7000693;TOD;01.05.2026;27562.50;
7000695;STO;01.05.2026;39389.33;
7000696;RED;01.05.2026;8057.60;0.75
7000708;ERH;01.06.2026;6282.88;
7000712;ERH;01.06.2026;3701.22;
7000720;ERH;01.06.2026;4147.92;
7000725;ERH;01.06.2026;5909.82;
7000734;ERH;01.06.2026;5269.13;
7000738;ERH;01.07.2026;5672.36;
7000745;ERH;01.07.2026;2881.21;
7000753;ERH;01.07.2026;3685.26;
7000763;ERH;01.07.2026;10412.54;
7000767;ERH;01.07.2026;4653.99;
7000769;ERH;01.07.2026;4506.24;
7000770;ERH;01.07.2026;4824.34;
7000783;ERH;01.08.2026;2546.18;
7000784;ERH;01.08.2026;2747.20;
7000786;ERH;01.08.2026;2884.56;
7000791;ERH;01.08.2026;1914.42;
7000797;ERH;01.08.2026;4713.79;
7000802;ERH;01.08.2026;3693.64;
7000807;ERH;01.08.2026;5488.01;
7000808;ERH;01.08.2026;5688.20;
7000821;ERH;01.09.2026;1809.13;
7000823;ERH;01.09.2026;5677.88;
7000824;ERH;01.09.2026;6955.74;
7000826;ERH;01.09.2026;4506.24;
7000838;ERH;01.09.2026;6944.04;
7000839;ERH;01.09.2026;5488.01;
7000840;PEX;01.09.2026;69544.21;
7000845;ERH;01.09.2026;2437.80;
7000850;ERH;01.09.2026;3693.64;
7000853;ERH;01.09.2026;3160.32;
7000864;STO;01.09.2026;22758.17;
7000881;ERH;01.10.2026;4958.35;
7000884;ERH;01.10.2026;3283.23;
7000888;ERH;01.10.2026;4422.32;
7000899;ERH;01.10.2026;2871.63;
7000911;ERH;01.10.2026;3618.26;
7000917;ERH;01.11.2026;2142.31;
7000925;STO;01.11.2026;21103.83;
7000930;ERH;01.11.2026;2744.01;
7000934;ERH;01.11.2026;6499.46;
7000952;ERH;01.11.2026;7165.66;
7000955;ERH;01.11.2026;8710.62;
7000964;TOD;01.12.2026;44669.86;
7000965;ERH;01.12.2026;5097.22;
7000970;ERH;01.12.2026;3583.13;
7000971;STO;01.12.2026;54157.68;
7000991;ERH;01.12.2026;2613.34;
7000996;ERH;01.12.2026;3340.55;
7000002;ABL;01.01.2027;75000.00;
7000004;ERH;01.01.2027;5025.36;
7000009;ABL;01.01.2027;46000.00;
7000013;ABL;01.01.2027;105867.56;
7000020;ERH;01.01.2027;3989.13;
7000022;ERH;01.01.2027;2743.85;
7000023;ABL;01.01.2027;72930.38;
7000027;ABL;01.01.2027;125197.15;
7000029;ABL;01.01.2027;67000.00;
7000030;ABL;01.01.2027;31907.04;
7000033;ERH;01.01.2027;3752.27;
7000035;ERH;01.01.2027;7213.68;
7000036;ERH;01.01.2027;2673.49;
7000037;ERH;01.01.2027;3619.77;
7000503;ERH;01.01.2027;5488.01;
7000505;ERH;01.01.2027;2613.34;
7000509;RED;01.01.2027;8873.75;0.6
7000512;ERH;01.01.2027;2920.59;
7000524;ERH;01.01.2027;2881.04;
7000532;ERH;01.01.2027;2680.19;
