POLNR;GEVO;DATUM
7000374;ERH;01.10.2016
7000375;ERH;01.10.2016
7000379;PEX;01.10.2016
7000380;ERH;01.10.2016
7000389;ERH;01.10.2016
7000390;PEX;01.10.2016
7000394;ERH;01.10.2016
7000396;ERH;01.10.2016
7000398;ERH;01.10.2016
7000399;ERH;01.10.2016
7000401;ERH;01.10.2016
7000402;ERH;01.10.2016
7000406;ERH;01.10.2016
7000410;ERH;01.10.2016
7000415;ERH;01.10.2016
7000421;ERH;01.11.2016
7000423;ERH;01.11.2016
7000425;ERH;01.11.2016
7000428;ERH;01.11.2016
7000429;ERH;01.11.2016
7000430;ERH;01.11.2016
7000431;ERH;01.11.2016
7000432;ERH;01.11.2016
7000436;PEX;01.11.2016
7000439;ERH;01.11.2016
7000440;ERH;01.11.2016
7000442;PEX;01.11.2016
7000446;ERH;01.11.2016
7000449;ERH;01.11.2016
7000453;ERH;01.12.2016
7000455;PEX;01.12.2016
7000458;ERH;01.12.2016
7000459;ERH;01.12.2016
7000468;ERH;01.12.2016
7000469;PEX;01.12.2016
7000470;ERH;01.12.2016
7000474;ERH;01.12.2016
7000484;ERH;01.12.2016
7000485;ERH;01.12.2016
7000489;ERH;01.12.2016
7000494;ERH;01.12.2016
7000497;ERH;01.12.2016
7000498;ERH;01.12.2016
7000003;ERH;01.01.2017
7000004;ERH;01.01.2017
7000006;ERH;01.01.2017
7000008;ERH;01.01.2017
7000013;ERH;01.01.2017
7000020;ERH;01.01.2017
7000022;ERH;01.01.2017
7000023;ERH;01.01.2017
7000027;ERH;01.01.2017
7000030;ERH;01.01.2017
7000033;ERH;01.01.2017
7000034;ERH;01.01.2017
7000035;ERH;01.01.2017
7000037;ERH;01.01.2017
7000042;ERH;01.02.2017
7000049;ERH;01.02.2017
7000055;ERH;01.02.2017
7000060;ERH;01.02.2017
7000061;ERH;01.02.2017
7000075;ERH;01.02.2017
7000079;ERH;01.02.2017
7000080;ERH;01.03.2017
7000081;ERH;01.03.2017
7000083;ERH;01.03.2017
7000084;ERH;01.03.2017
7000086;ERH;01.03.2017
7000089;PEX;01.03.2017
7000097;ERH;01.03.2017
7000098;ERH;01.03.2017
7000100;ERH;01.03.2017
7000102;ERH;01.03.2017
7000105;ERH;01.03.2017
7000106;ERH;01.03.2017
7000107;ERH;01.03.2017
7000111;ERH;01.03.2017
7000112;ERH;01.03.2017
7000116;ERH;01.04.2017
7000118;ERH;01.04.2017
7000121;ERH;01.04.2017
7000124;ERH;01.04.2017
7000125;ERH;01.04.2017
7000130;ERH;01.04.2017
7000138;ERH;01.04.2017
7000139;ERH;01.04.2017
7000140;ERH;01.04.2017
7000143;ERH;01.04.2017
7000144;ERH;01.04.2017
7000145;ERH;01.04.2017
7000150;ERH;01.04.2017
7000154;ERH;01.04.2017
7000156;ERH;01.04.2017
7000159;ERH;01.05.2017
7000163;ERH;01.05.2017
7000164;ERH;01.05.2017
7000165;ERH;01.05.2017
7000170;PEX;01.05.2017
7000173;ERH;01.05.2017
7000174;ERH;01.05.2017
7000175;ERH;01.05.2017
7000180;PEX;01.05.2017
7000182;ERH;01.05.2017
7000186;ERH;01.05.2017
7000188;ERH;01.05.2017
7000189;ERH;01.05.2017
7000194;ERH;01.05.2017
7000195;ERH;01.05.2017
7000198;ERH;01.05.2017
7000201;ERH;01.06.2017
7000204;ERH;01.06.2017
7000205;ERH;01.06.2017
7000206;ERH;01.06.2017
7000207;ERH;01.06.2017
7000208;ERH;01.06.2017
7000209;ERH;01.06.2017
7000210;ERH;01.06.2017
7000212;ERH;01.06.2017
7000220;ERH;01.06.2017
7000222;PEX;01.06.2017
7000224;ERH;01.06.2017
7000225;PEX;01.06.2017
7000228;ERH;01.06.2017
7000229;ERH;01.06.2017
7000235;ERH;01.06.2017
7000242;ERH;01.06.2017
7000244;ERH;01.07.2017
7000245;ERH;01.07.2017
7000248;ERH;01.07.2017
7000253;ERH;01.07.2017
7000258;ERH;01.07.2017
7000259;ERH;01.07.2017
7000264;ERH;01.07.2017
7000266;ERH;01.07.2017
7000270;ERH;01.07.2017
7000277;ERH;01.08.2017
7000278;ERH;01.08.2017
7000283;ERH;01.08.2017
7000286;ERH;01.08.2017
7000287;ERH;01.08.2017
7000288;ERH;01.08.2017
7000290;ERH;01.08.2017
7000297;ERH;01.08.2017
7000302;ERH;01.08.2017
7000304;ERH;01.08.2017
7000305;ERH;01.08.2017
7000307;ERH;01.08.2017
7000311;ERH;01.08.2017
7000312;ERH;01.08.2017
7000315;ERH;01.08.2017
7000319;ERH;01.08.2017
7000321;ERH;01.09.2017
7000323;ERH;01.09.2017
7000325;ERH;01.09.2017
7000326;PEX;01.09.2017
7000328;ERH;01.09.2017
7000329;ERH;01.09.2017
7000334;PEX;01.09.2017
7000341;ERH;01.09.2017
7000342;ERH;01.09.2017
7000343;ERH;01.09.2017
7000347;ERH;01.09.2017
7000348;ERH;01.09.2017
7000349;ERH;01.09.2017
7000352;ERH;01.09.2017
7000353;ERH;01.09.2017
7000355;ERH;01.09.2017
7000356;ERH;01.09.2017
7000357;ERH;01.09.2017
7000365;ERH;01.10.2017
7000367;ERH;01.10.2017
7000368;ERH;01.10.2017
7000370;ERH;01.10.2017
7000373;ERH;01.10.2017
7000374;ERH;01.10.2017
7000377;ERH;01.10.2017
7000380;ERH;01.10.2017
7000389;ERH;01.10.2017
7000392;PEX;01.10.2017
7000394;ERH;01.10.2017
7000396;ERH;01.10.2017
7000398;ERH;01.10.2017
7000401;ERH;01.10.2017
7000402;ERH;01.10.2017
7000403;ERH;01.10.2017
7000405;ERH;01.10.2017
7000415;ERH;01.10.2017
7000421;ERH;01.11.2017
7000423;ERH;01.11.2017
7000425;ERH;01.11.2017
7000427;ERH;01.11.2017
7000429;PEX;01.11.2017
7000430;ERH;01.11.2017
7000431;ERH;01.11.2017
7000435;PEX;01.11.2017
7000439;ERH;01.11.2017
7000440;ERH;01.11.2017
7000446;ERH;01.11.2017
7000450;ERH;01.12.2017
7000453;ERH;01.12.2017
7000458;ERH;01.12.2017
7000466;ERH;01.12.2017
7000468;ERH;01.12.2017
7000470;ERH;01.12.2017
7000472;ERH;01.12.2017
7000473;PEX;01.12.2017
7000474;ERH;01.12.2017
7000484;ERH;01.12.2017
7000485;ERH;01.12.2017
7000489;ERH;01.12.2017
7000493;ERH;01.12.2017
7000494;ERH;01.12.2017
7000497;ERH;01.12.2017
7000498;ERH;01.12.2017
7000503;ERH;01.01.2017
7000507;ERH;01.01.2017
7000508;ERH;01.01.2017
7000509;ERH;01.01.2017
7000512;ERH;01.01.2017
7000513;ERH;01.01.2017
7000515;ERH;01.01.2017
7000516;ERH;01.01.2017
7000521;ERH;01.01.2017
7000524;ERH;01.01.2017
7000533;ERH;01.01.2017
7000536;ERH;01.01.2017
7000538;ERH;01.02.2017
7000539;ERH;01.02.2017
7000541;ERH;01.02.2017
7000544;ERH;01.02.2017
7000550;ERH;01.02.2017
7000551;ERH;01.02.2017
7000552;ERH;01.02.2017
7000553;ERH;01.02.2017
7000554;ERH;01.02.2017
7000555;ERH;01.02.2017
7000557;ERH;01.02.2017
7000558;ERH;01.02.2017
7000559;ERH;01.02.2017
7000561;ERH;01.02.2017
7000562;ERH;01.02.2017
7000563;ERH;01.02.2017
7000565;ERH;01.02.2017
7000569;RED;01.02.2017
7000574;PEX;01.02.2017
7000575;ERH;01.03.2017
7000578;ERH;01.03.2017
7000582;ERH;01.03.2017
7000585;ERH;01.03.2017
7000586;ERH;01.03.2017
7000588;ERH;01.03.2017
7000592;ERH;01.03.2017
7000593;ERH;01.03.2017
7000596;ERH;01.03.2017
7000598;ERH;01.03.2017
7000600;ERH;01.03.2017
7000603;ERH;01.03.2017
7000610;ERH;01.03.2017
7000611;ERH;01.03.2017
7000614;PEX;01.03.2017
7000615;ERH;01.03.2017
7000618;ERH;01.03.2017
7000623;ERH;01.04.2017
7000626;ERH;01.04.2017
7000627;RED;01.04.2017
7000635;ERH;01.04.2017
7000637;ERH;01.04.2017
7000640;ERH;01.04.2017
7000641;ERH;01.04.2017
7000646;ERH;01.04.2017
7000649;ERH;01.04.2017
7000651;ERH;01.04.2017
7000652;PEX;01.04.2017
7000657;ERH;01.04.2017
7000662;ERH;01.04.2017
7000663;ERH;01.04.2017
7000669;ERH;01.05.2017
7000673;ERH;01.05.2017
7000674;ERH;01.05.2017
7000675;ERH;01.05.2017
7000676;ERH;01.05.2017
7000678;ERH;01.05.2017
7000679;ERH;01.05.2017
7000686;ERH;01.05.2017
7000687;ERH;01.05.2017
7000689;ERH;01.05.2017
7000691;ERH;01.05.2017
7000693;ERH;01.05.2017
7000695;ERH;01.05.2017
7000696;ERH;01.05.2017
7000700;ERH;01.06.2017
7000702;ERH;01.06.2017
7000704;ERH;01.06.2017
7000706;ERH;01.06.2017
7000708;ERH;01.06.2017
7000712;ERH;01.06.2017
7000715;PEX;01.06.2017
7000717;ERH;01.06.2017
7000720;ERH;01.06.2017
7000722;RED;01.06.2017
7000723;PEX;01.06.2017
7000725;ERH;01.06.2017
7000733;ERH;01.06.2017
7000734;ERH;01.06.2017
7000735;ERH;01.06.2017
7000736;PEX;01.07.2017
7000738;ERH;01.07.2017
7000742;PEX;01.07.2017
7000744;ERH;01.07.2017
7000750;ERH;01.07.2017
7000752;ERH;01.07.2017
7000753;ERH;01.07.2017
7000754;ERH;01.07.2017
7000755;ERH;01.07.2017
7000763;ERH;01.07.2017
7000764;ERH;01.07.2017
7000767;ERH;01.07.2017
7000770;ERH;01.07.2017
7000771;ERH;01.07.2017
7000772;ERH;01.07.2017
7000774;PEX;01.07.2017
7000775;ERH;01.07.2017
7000779;ERH;01.08.2017
7000784;ERH;01.08.2017
7000786;ERH;01.08.2017
7000788;ERH;01.08.2017
7000795;ERH;01.08.2017
7000802;ERH;01.08.2017
7000804;ERH;01.08.2017
7000808;ERH;01.08.2017
7000810;ERH;01.08.2017
7000811;ERH;01.08.2017
7000814;ERH;01.08.2017
7000817;ERH;01.09.2017
7000820;ERH;01.09.2017
7000821;ERH;01.09.2017
7000824;ERH;01.09.2017
7000826;ERH;01.09.2017
7000830;ERH;01.09.2017
7000834;ERH;01.09.2017
7000836;ERH;01.09.2017
7000838;ERH;01.09.2017
7000842;ERH;01.09.2017
7000845;ERH;01.09.2017
7000846;ERH;01.09.2017
7000850;ERH;01.09.2017
7000852;ERH;01.09.2017
7000856;ERH;01.09.2017
7000857;ERH;01.09.2017
7000863;RED;01.09.2017
7000864;ERH;01.09.2017
7000869;RED;01.09.2017
7000881;ERH;01.10.2017
7000883;ERH;01.10.2017
7000884;ERH;01.10.2017
7000885;ERH;01.10.2017
7000891;ERH;01.10.2017
7000900;ERH;01.10.2017
7000902;ERH;01.10.2017
7000905;ERH;01.10.2017
7000906;ERH;01.10.2017
7000911;ERH;01.10.2017
7000917;ERH;01.11.2017
7000923;ERH;01.11.2017
7000926;ERH;01.11.2017
7000934;ERH;01.11.2017
7000952;ERH;01.11.2017
7000953;PEX;01.11.2017
7000956;PEX;01.11.2017
7000962;ERH;01.12.2017
7000964;ERH;01.12.2017
7000965;ERH;01.12.2017
7000969;PEX;01.12.2017
7000973;ERH;01.12.2017
7000977;ERH;01.12.2017
7000979;ERH;01.12.2017
7000980;ERH;01.12.2017
7000984;ERH;01.12.2017
7000985;ERH;01.12.2017
7000986;PEX;01.12.2017
7000987;ERH;01.12.2017
7000988;ERH;01.12.2017
7000990;ERH;01.12.2017
7000993;ERH;01.12.2017
7000996;ERH;01.12.2017
7000998;ERH;01.12.2017
7001002;ERH;01.12.2017
7000004;ERH;01.01.2018
7000006;ERH;01.01.2018
7000008;ERH;01.01.2018
7000010;ERH;01.01.2018
7000013;ERH;01.01.2018
7000018;ERH;01.01.2018
7000020;ERH;01.01.2018
7000022;ERH;01.01.2018
7000027;ERH;01.01.2018
7000031;ERH;01.01.2018
7000035;ERH;01.01.2018
7000036;ERH;01.01.2018
7000037;ERH;01.01.2018
7000041;ERH;01.02.2018
7000042;ERH;01.02.2018
7000049;ERH;01.02.2018
7000050;ERH;01.02.2018
7000054;ERH;01.02.2018
7000055;ERH;01.02.2018
7000057;ERH;01.02.2018
7000060;ERH;01.02.2018
7000061;ERH;01.02.2018
7000063;ERH;01.02.2018
7000068;ERH;01.02.2018
7000069;RED;01.02.2018
7000073;ERH;01.02.2018
7000075;ERH;01.02.2018
7000078;ERH;01.02.2018
7000080;ERH;01.03.2018
7000081;ERH;01.03.2018
7000083;PEX;01.03.2018
7000086;ERH;01.03.2018
7000088;PEX;01.03.2018
7000097;ERH;01.03.2018
7000102;ERH;01.03.2018
7000105;ERH;01.03.2018
7000106;ERH;01.03.2018
7000107;ERH;01.03.2018
7000111;ERH;01.03.2018
7000118;ERH;01.04.2018
7000121;ERH;01.04.2018
7000127;ERH;01.04.2018
7000130;ERH;01.04.2018
7000138;ERH;01.04.2018
7000139;ERH;01.04.2018
7000141;ERH;01.04.2018
7000142;ERH;01.04.2018
7000143;ERH;01.04.2018
7000144;ERH;01.04.2018
7000145;ERH;01.04.2018
7000146;ERH;01.04.2018
7000151;ERH;01.04.2018
7000156;ERH;01.04.2018
7000159;ERH;01.05.2018
7000163;ERH;01.05.2018
7000164;ERH;01.05.2018
7000165;ERH;01.05.2018
7000166;ERH;01.05.2018
7000172;ERH;01.05.2018
7000173;ERH;01.05.2018
7000175;ERH;01.05.2018
7000176;ERH;01.05.2018
7000185;PEX;01.05.2018
7000188;ERH;01.05.2018
7000189;ERH;01.05.2018
7000190;ERH;01.05.2018
7000194;ERH;01.05.2018
7000195;ERH;01.05.2018
7000198;ERH;01.05.2018
7000201;ERH;01.06.2018
7000202;PEX;01.06.2018
7000204;ERH;01.06.2018
7000208;ERH;01.06.2018
7000210;ERH;01.06.2018
7000212;ERH;01.06.2018
7000218;ERH;01.06.2018
7000224;ERH;01.06.2018
7000232;ERH;01.06.2018
7000235;ERH;01.06.2018
7000240;ERH;01.06.2018
7000244;ERH;01.07.2018
7000247;ERH;01.07.2018
7000248;ERH;01.07.2018
7000249;RED;01.07.2018
7000253;ERH;01.07.2018
7000259;ERH;01.07.2018
7000261;ERH;01.07.2018
7000270;ERH;01.07.2018
7000278;ERH;01.08.2018
7000281;ERH;01.08.2018
7000283;ERH;01.08.2018
7000287;ERH;01.08.2018
7000290;ERH;01.08.2018
7000292;RED;01.08.2018
7000297;ERH;01.08.2018
7000300;RED;01.08.2018
7000304;ERH;01.08.2018
7000305;ERH;01.08.2018
7000307;ERH;01.08.2018
7000311;ERH;01.08.2018
7000312;ERH;01.08.2018
7000314;ERH;01.08.2018
7000315;PEX;01.08.2018
7000319;ERH;01.08.2018
7000321;ERH;01.09.2018
7000323;ERH;01.09.2018
7000325;ERH;01.09.2018
7000328;ERH;01.09.2018
7000329;ERH;01.09.2018
7000335;ERH;01.09.2018
7000336;ERH;01.09.2018
7000342;ERH;01.09.2018
7000345;ERH;01.09.2018
7000347;ERH;01.09.2018
7000348;ERH;01.09.2018
7000349;ERH;01.09.2018
7000351;ERH;01.09.2018
7000353;ERH;01.09.2018
7000355;ERH;01.09.2018
7000356;ERH;01.09.2018
7000359;RED;01.09.2018
7000365;ERH;01.10.2018
7000367;ERH;01.10.2018
7000368;ERH;01.10.2018
7000374;ERH;01.10.2018
7000377;ERH;01.10.2018
7000388;ERH;01.10.2018
7000396;ERH;01.10.2018
7000398;ERH;01.10.2018
7000399;ERH;01.10.2018
7000402;PEX;01.10.2018
7000404;ERH;01.10.2018
7000405;ERH;01.10.2018
7000415;ERH;01.10.2018
7000417;ERH;01.11.2018
7000423;ERH;01.11.2018
7000425;ERH;01.11.2018
7000427;ERH;01.11.2018
7000428;ERH;01.11.2018
7000430;ERH;01.11.2018
7000432;ERH;01.11.2018
7000437;ERH;01.11.2018
7000439;ERH;01.11.2018
7000440;ERH;01.11.2018
7000444;ERH;01.11.2018
7000446;ERH;01.11.2018
7000449;ERH;01.11.2018
7000450;ERH;01.12.2018
7000453;ERH;01.12.2018
7000457;ERH;01.12.2018
7000458;PEX;01.12.2018
7000466;ERH;01.12.2018
7000468;ERH;01.12.2018
7000472;ERH;01.12.2018
7000474;ERH;01.12.2018
7000479;ERH;01.12.2018
7000484;ERH;01.12.2018
7000485;ERH;01.12.2018
7000489;ERH;01.12.2018
7000495;PEX;01.12.2018
7000498;ERH;01.12.2018
7000503;ERH;01.01.2018
7000508;ERH;01.01.2018
7000509;ERH;01.01.2018
7000512;ERH;01.01.2018
7000513;ERH;01.01.2018
7000515;RED;01.01.2018
7000516;ERH;01.01.2018
7000519;ERH;01.01.2018
7000521;ERH;01.01.2018
7000522;PEX;01.01.2018
7000523;ERH;01.01.2018
7000524;ERH;01.01.2018
7000532;ERH;01.01.2018
7000533;RED;01.01.2018
7000536;ERH;01.01.2018
7000537;ERH;01.02.2018
7000538;ERH;01.02.2018
7000539;RED;01.02.2018
7000541;ERH;01.02.2018
7000548;ERH;01.02.2018
7000550;ERH;01.02.2018
7000551;PEX;01.02.2018
7000552;ERH;01.02.2018
7000553;ERH;01.02.2018
7000554;ERH;01.02.2018
7000555;ERH;01.02.2018
7000557;ERH;01.02.2018
7000558;ERH;01.02.2018
7000559;ERH;01.02.2018
7000561;ERH;01.02.2018
7000563;ERH;01.02.2018
7000565;ERH;01.02.2018
7000571;PEX;01.02.2018
7000575;ERH;01.03.2018
7000577;ERH;01.03.2018
7000579;ERH;01.03.2018
7000580;RED;01.03.2018
7000581;ERH;01.03.2018
7000583;ERH;01.03.2018
7000586;ERH;01.03.2018
7000588;ERH;01.03.2018
7000592;ERH;01.03.2018
7000593;ERH;01.03.2018
7000596;ERH;01.03.2018
7000598;ERH;01.03.2018
7000603;ERH;01.03.2018
7000609;ERH;01.03.2018
7000610;ERH;01.03.2018
7000613;ERH;01.03.2018
7000615;ERH;01.03.2018
7000618;ERH;01.03.2018
7000623;ERH;01.04.2018
7000626;ERH;01.04.2018
7000631;ERH;01.04.2018
7000635;ERH;01.04.2018
7000637;ERH;01.04.2018
7000641;ERH;01.04.2018
7000646;ERH;01.04.2018
7000649;ERH;01.04.2018
7000650;ERH;01.04.2018
7000651;ERH;01.04.2018
7000656;ERH;01.04.2018
7000657;ERH;01.04.2018
7000662;ERH;01.04.2018
7000663;ERH;01.04.2018
7000674;ERH;01.05.2018
7000676;ERH;01.05.2018
7000679;ERH;01.05.2018
7000686;ERH;01.05.2018
7000687;ERH;01.05.2018
7000690;ERH;01.05.2018
7000693;ERH;01.05.2018
7000695;ERH;01.05.2018
7000698;ERH;01.06.2018
7000702;ERH;01.06.2018
7000704;ERH;01.06.2018
7000706;ERH;01.06.2018
7000708;ERH;01.06.2018
7000717;ERH;01.06.2018
7000720;ERH;01.06.2018
7000722;ERH;01.06.2018
7000725;ERH;01.06.2018
7000730;ERH;01.06.2018
7000733;ERH;01.06.2018
7000734;ERH;01.06.2018
7000744;ERH;01.07.2018
7000745;ERH;01.07.2018
7000750;ERH;01.07.2018
7000753;ERH;01.07.2018
7000754;ERH;01.07.2018
7000763;ERH;01.07.2018
7000764;ERH;01.07.2018
7000766;RED;01.07.2018
7000767;ERH;01.07.2018
7000769;ERH;01.07.2018
7000770;ERH;01.07.2018
7000771;ERH;01.07.2018
7000772;ERH;01.07.2018
7000775;ERH;01.07.2018
7000776;PEX;01.08.2018
7000783;ERH;01.08.2018
7000785;ERH;01.08.2018
7000786;ERH;01.08.2018
7000788;ERH;01.08.2018
7000791;ERH;01.08.2018
7000794;ERH;01.08.2018
7000795;ERH;01.08.2018
7000797;ERH;01.08.2018
7000802;ERH;01.08.2018
7000804;ERH;01.08.2018
7000807;ERH;01.08.2018
7000808;ERH;01.08.2018
7000810;ERH;01.08.2018
7000811;ERH;01.08.2018
7000813;ERH;01.08.2018
7000817;ERH;01.09.2018
7000818;ERH;01.09.2018
7000820;ERH;01.09.2018
7000821;ERH;01.09.2018
7000824;ERH;01.09.2018
7000825;ERH;01.09.2018
7000826;ERH;01.09.2018
7000828;ERH;01.09.2018
7000829;ERH;01.09.2018
7000830;ERH;01.09.2018
7000832;ERH;01.09.2018
7000834;ERH;01.09.2018
7000836;ERH;01.09.2018
7000837;ERH;01.09.2018
7000839;ERH;01.09.2018
7000842;ERH;01.09.2018
7000844;ERH;01.09.2018
7000845;ERH;01.09.2018
7000850;ERH;01.09.2018
7000852;ERH;01.09.2018
7000856;ERH;01.09.2018
7000857;ERH;01.09.2018
7000859;ERH;01.09.2018
7000863;ERH;01.09.2018
7000864;ERH;01.09.2018
7000881;ERH;01.10.2018
7000883;ERH;01.10.2018
7000884;ERH;01.10.2018
7000885;ERH;01.10.2018
7000888;ERH;01.10.2018
7000889;ERH;01.10.2018
7000891;ERH;01.10.2018
7000899;ERH;01.10.2018
7000900;ERH;01.10.2018
7000902;ERH;01.10.2018
7000906;PEX;01.10.2018
7000910;RED;01.10.2018
7000911;ERH;01.10.2018
7000917;ERH;01.11.2018
7000923;RED;01.11.2018
7000926;ERH;01.11.2018
7000930;ERH;01.11.2018
7000931;ERH;01.11.2018
7000934;ERH;01.11.2018
7000936;ERH;01.11.2018
7000940;ERH;01.11.2018
7000941;PEX;01.11.2018
7000945;ERH;01.11.2018
7000948;PEX;01.11.2018
7000952;ERH;01.11.2018
7000955;ERH;01.11.2018
7000958;ERH;01.11.2018
7000961;PEX;01.12.2018
7000962;ERH;01.12.2018
7000964;ERH;01.12.2018
7000965;ERH;01.12.2018
7000973;ERH;01.12.2018
7000977;ERH;01.12.2018
7000984;ERH;01.12.2018
7000988;ERH;01.12.2018
7000990;ERH;01.12.2018
7000993;ERH;01.12.2018
7000994;ERH;01.12.2018
7000995;ERH;01.12.2018
7000005;ERH;01.01.2019
7000008;ERH;01.01.2019
7000010;ERH;01.01.2019
7000013;ERH;01.01.2019
7000017;PEX;01.01.2019
7000018;ERH;01.01.2019
7000023;ERH;01.01.2019
7000030;ERH;01.01.2019
7000031;ERH;01.01.2019
7000033;ERH;01.01.2019
7000034;ERH;01.01.2019
7000035;ERH;01.01.2019
7000037;ERH;01.01.2019
7000041;ERH;01.02.2019
7000042;ERH;01.02.2019
7000050;ERH;01.02.2019
7000053;ERH;01.02.2019
7000054;ERH;01.02.2019
7000055;ERH;01.02.2019
7000060;ERH;01.02.2019
7000061;ERH;01.02.2019
7000063;ERH;01.02.2019
7000075;ERH;01.02.2019
7000079;PEX;01.02.2019
7000080;ERH;01.03.2019
7000081;ERH;01.03.2019
7000086;ERH;01.03.2019
7000093;PEX;01.03.2019
7000096;ERH;01.03.2019
7000098;ERH;01.03.2019
7000099;ERH;01.03.2019
7000100;ERH;01.03.2019
7000102;ERH;01.03.2019
7000105;ERH;01.03.2019
7000106;PEX;01.03.2019
7000112;ERH;01.03.2019
7000121;ERH;01.04.2019
7000122;ERH;01.04.2019
7000125;ERH;01.04.2019
7000130;ERH;01.04.2019
7000133;PEX;01.04.2019
7000138;ERH;01.04.2019
7000139;ERH;01.04.2019
7000142;ERH;01.04.2019
7000143;ERH;01.04.2019
7000144;ERH;01.04.2019
7000145;ERH;01.04.2019
7000146;ERH;01.04.2019
7000150;ERH;01.04.2019
7000151;ERH;01.04.2019
7000154;ERH;01.04.2019
7000155;PEX;01.04.2019
7000156;ERH;01.04.2019
7000158;ERH;01.05.2019
7000159;ERH;01.05.2019
7000165;ERH;01.05.2019
7000166;ERH;01.05.2019
7000172;ERH;01.05.2019
7000173;ERH;01.05.2019
7000174;ERH;01.05.2019
7000175;ERH;01.05.2019
7000178;ERH;01.05.2019
7000182;ERH;01.05.2019
7000183;ERH;01.05.2019
7000186;ERH;01.05.2019
7000189;ERH;01.05.2019
7000190;ERH;01.05.2019
7000194;ERH;01.05.2019
7000195;ERH;01.05.2019
